需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注,变更标注
WE-001,在线编辑（WPS）,在线编辑-综述-WebOffice与回调落盘回写章节,功能,§页面层级-在线编辑（WPS）-综述,实现「在线编辑-综述-WebOffice与回调落盘回写章节」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
WE-002,在线编辑（WPS）,在线编辑-业务流程-获取编辑链接打开 WebOffice,集成,§页面层级-在线编辑-业务流程-1,实现「在线编辑-业务流程-获取编辑链接打开 WebOffice」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
WE-003,在线编辑（WPS）,在线编辑-业务流程-回调加载文件元数据,集成,§页面层级-在线编辑-业务流程-2,实现「在线编辑-业务流程-回调加载文件元数据」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
WE-004,在线编辑（WPS）,在线编辑-业务流程-侧栏插入资源与变量（仅光标）,功能,§页面层级-在线编辑-业务流程-3 & §规则3,侧栏选择资源或变量后**仅向当前光标位置插入**；**无**手工粘贴/剪贴板兜底路径。插入失败时弹窗仅 **「重试」「取消」**（与 PRD/实现一致）。,编辑器已打开。,成功则文档出现片段；失败弹窗文案与按钮符合 PRD 2026-05-14。,P1,草稿,,WpsTemplateEditor,更新
WE-005,在线编辑（WPS）,在线编辑-业务流程-上传新版本回调与解析回写,集成,§页面层级-在线编辑-业务流程-4,实现「在线编辑-业务流程-上传新版本回调与解析回写」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
WE-006,在线编辑（WPS）,在线编辑-业务流程-返回列表后续预览下载发布,功能,§页面层级-在线编辑-业务流程-5,实现「在线编辑-业务流程-返回列表后续预览下载发布」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
WE-007,在线编辑（WPS）,细粒度-插入资源,功能,§细粒度-在线编辑-插入资源,从侧栏插入资源 HTML：走 WebOffice API；失败时 **重试/取消** 对话框；不重试则文档不变。,侧栏有资源列表。,与 WE-004 规则一致；无静默失败。,P1,草稿,,,更新
WE-008,在线编辑（WPS）,细粒度-插入变量,功能,§细粒度-在线编辑-插入变量,插入 `{{变量名}}` 或等价占位：与资源插入**同一套**失败弹窗（重试/取消）。,变量库非空。,变量插入失败 UX 与资源一致。,P1,草稿,,variableInsertRetryItem,更新
PU-001,公共交互规范,公共-列表分页与空态,功能,§公共交互规范-列表与分页,实现「公共-列表分页与空态」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
PU-002,公共交互规范,公共-筛选搜索与状态标签,功能,§公共交互规范-列表与分页,实现「公共-筛选搜索与状态标签」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
PU-003,公共交互规范,公共-高风险操作二次确认,功能,§公共交互规范-弹窗规范,实现「公共-高风险操作二次确认」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
PU-004,公共交互规范,公共-日志弹窗字段口径,功能,§公共交互规范-弹窗规范,实现「公共-日志弹窗字段口径」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
PU-005,公共交互规范,公共-异步操作加载成功失败态,功能,§公共交互规范-提示反馈,实现「公共-异步操作加载成功失败态」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
PU-006,公共交互规范,公共-错误提示可理解可恢复,功能,§公共交互规范-提示反馈,实现「公共-错误提示可理解可恢复」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
GL-001,全局规则,全局-总目标闭环,规则,§全局规则-总目标,实现「全局-总目标闭环」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
GL-002,全局规则,全局-规则1-资源单稿与版本痕迹,规则,§全局规则-规则1 & PRD 2026-05-13,资源正文**无**独立「草稿/已发布」状态枚举；以**保存即生效** + `contentVersion`/`versions`（或等价字段）体现变更痕迹。,资源数据可读。,界面与类型定义不出现资源级 draft/published 枚举验收项。,P1,草稿,,替代「资源状态枚举」,更新
GL-003,全局规则,全局-规则1-范本状态枚举,规则,§全局规则-规则1,范本状态 **`draft` | `published`**；统计与筛选与此一致；**无 `archived`**。,范本列表可读。,枚举、看板、筛选三处口径一致。,P1,草稿,,PRD 2026-05-13,更新
GL-004,全局规则,全局-规则1-校验执行反馈,规则,§全局规则-规则1,实现「全局-规则1-校验执行反馈」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
GL-005,全局规则,全局-规则2-章节正文解析 resolveSectionRichHtml,规则,§全局规则-规则2 & 实现,范本章节展示/导出等使用 `resolveSectionRichHtml`（或 PRD 命名等价）解析：优先 `section.content` 等与存储一致策略。,存在章节与资源引用。,解析结果与 Mock 数据结构及 PRD「规则2」现行描述一致。,P1,草稿,,resolveTemplateSectionHtml,更新
GL-006,全局规则,全局-规则2-同步到所有范本写入引用章节,规则,§全局规则-规则2,用户显式「同步到所有范本」将资源 HTML 写入**所有引用该资源**的范本章节；非静默后台篡改。,引用关系存在。,同步后章节 HTML 与资源一致；写审计。,P1,草稿,,updateMockTemplateTextFragment,更新
GL-007,全局规则,全局-规则2-绑定去重与非资源侧绑定入口,规则,§全局规则-规则2,`TextBinding` 去重；**主流程**在范本侧栏插入建立关联，资源详情不提供「绑定章节」为验收主路径。,Mock 含绑定数据。,与 PRD v2 绑定入口描述一致。,P1,草稿,,,更新
GL-008,全局规则,全局-规则2细化-适用范围（四类资源+变量）,规则,§全局规则-规则2-细化-适用范围,文本/资格条件/评标办法/合同条款与范本变量库演示范围与 PRD 一致。,各模块可达。,联动与插入能力覆盖 PRD 列示类型。,P1,草稿,,,更新
GL-009,全局规则,全局-规则2细化-无范本归档分支,规则,§全局规则-规则2-细化 & PRD 更新日志,现行产品**无**范本「已归档」态；不要求「归档快照不随资源变」或「跳过 archived 范本」的验收分支。,—,需求评审与 PRD 2026-05-13 备注一致。,P2,草稿,,历史口径见 PRD 更新日志,更新
GL-010,全局规则,全局-规则2细化-联动排除已删除范本,规则,§全局规则-规则2-细化-联动范围,同步或解析时对 **`deleted` 或实现约定排除态** 的范本跳过（以代码为准）。,含已删除标记范本。,被删除范本不被同步覆盖（若实现如此）。,P1,草稿,,以 mockData 为准,更新
GL-011,全局规则,全局-规则2细化-插入与同步的审计与提示,规则,§全局规则-规则2-细化-绑定约束,插入失败、同步结果均有用户可读反馈；关键路径写 `DataAuditEntry`（若适用）。,可触发失败或成功。,不静默；日志可查。,P1,草稿,,,更新
GL-012,全局规则,全局-规则3-关键动作审计日志,规则,§全局规则-规则3,实现「全局-规则3-关键动作审计日志」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
GL-013,全局规则,全局-规则3-失败必须提示,规则,§全局规则-规则3,实现「全局-规则3-失败必须提示」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
GL-014,全局规则,全局-规则3-WPS 插入失败仅弹窗重试取消,规则,§全局规则-规则3 & PRD 范本侧栏插入,WPS 侧栏插入失败：**不**采用手工粘贴/剪贴板回退；仅对话框 **重试 / 取消**（与 `WpsTemplateEditor` 一致）。,可模拟插入 API 失败。,无静默成功假象；取消后文档不变。,P1,草稿,,2026/5/14,更新
INT-001,接口与集成（文档中台）,集成-规范性引用-文档中台与 WPS 云文档,集成,§接口与集成-规范性引用,实现「集成-规范性引用-文档中台与 WPS 云文档」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-002,接口与集成（文档中台）,集成-获取在线编辑链接-open-api,集成,§接口与集成-文档中台侧关键接口-获取在线编辑链接,实现「集成-获取在线编辑链接-open-api」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-003,接口与集成（文档中台）,集成-开放接口请求头-WPS-4 签名,集成,§接口与集成-文档中台侧关键接口-通用请求头,实现「集成-开放接口请求头-WPS-4 签名」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-004,接口与集成（文档中台）,集成-回调必须实现-文件元数据与新版本保存,集成,§接口与集成-文档中台侧关键接口-回调清单,实现「集成-回调必须实现-文件元数据与新版本保存」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-005,接口与集成（文档中台）,集成-可选-在线预览能力,集成,§接口与集成-文档中台侧关键接口-在线预览,实现「集成-可选-在线预览能力」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-006,接口与集成（文档中台）,集成-业务衔接-file_id 与范本映射,集成,§接口与集成-业务系统衔接-file_id,实现「集成-业务衔接-file_id 与范本映射」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-007,接口与集成（文档中台）,集成-业务衔接-保存闭环解析章节树,集成,§接口与集成-业务系统衔接-保存闭环,保存回调后解析 docx/HTML 更新章节树；前端 Mock 可用 **mammoth/export-html** 等实现等价链路（见 PRD/实现说明）。,保存成功返回文件。,章节树与正文与解析结果一致；失败有提示。,P1,草稿,,实现细节以代码为准,更新
INT-008,接口与集成（文档中台）,集成-业务衔接-内部 API 演进策略,集成,§接口与集成-业务系统衔接-品类接口,实现「集成-业务衔接-内部 API 演进策略」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-009,接口与集成（文档中台）,集成要求-中台地址证书 ak/sk 与回调可达,集成,§接口与集成-集成要求,实现「集成要求-中台地址证书 ak/sk 与回调可达」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-010,接口与集成（文档中台）,集成要求-回调结构与错误码遵循中台文档,集成,§接口与集成-集成要求,实现「集成要求-回调结构与错误码遵循中台文档」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-011,接口与集成（文档中台）,集成要求-导入保存下载链路可观测,集成,§接口与集成-集成要求,实现「集成要求-导入保存下载链路可观测」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
INT-012,接口与集成（文档中台）,附录-文档中台错误码与回调错误码索引,集成,§文档体系常见附件-接口错误与 HTTP 状态分类,实现「附录-文档中台错误码与回调错误码索引」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
NFR-001,非功能需求,非功能-性能-操作时延可接受,非功能,§非功能需求-性能,实现「非功能-性能-操作时延可接受」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
NFR-002,非功能需求,非功能-性能-长耗时进度反馈,非功能,§非功能需求-性能,实现「非功能-性能-长耗时进度反馈」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
NFR-003,非功能需求,非功能-稳定-编辑保存导出连续执行,非功能,§非功能需求-稳定性,实现「非功能-稳定-编辑保存导出连续执行」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
NFR-004,非功能需求,非功能-稳定-失败可感知与可重试,非功能,§非功能需求-稳定性,关键链路失败须提示；允许用户重试或取消（**不**要求以剪贴板等隐式手段「绕过」业务失败，与 WPS 插入规则一致）。,可模拟网络或 SDK 失败。,无白屏；用户可理解原因并采取下一步。,P1,草稿,,与 GL-014 一致,更新
NFR-005,非功能需求,非功能-可维护-模块边界清晰,非功能,§非功能需求-可维护性,实现「非功能-可维护-模块边界清晰」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
NFR-006,非功能需求,非功能-可维护-命名可追溯,非功能,§非功能需求-可维护性,实现「非功能-可维护-命名可追溯」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-001,验收标准（交叉）,验收-功能-页面闭环与资源到范本,验收,§验收标准-功能验收,实现「验收-功能-页面闭环与资源到范本」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-002,验收标准（交叉）,验收-功能-招标文件管理为演示范围,验收,§验收标准-功能验收 & §范围说明,「范本 → 完整招标文件生产流水线」仍为非本期核心；**招标文件管理页 Mock 演示**按 PRD 可选验收条目执行。,PRD 范围已确认。,全链路不强制；演示页与 PRD 标注一致。,P2,草稿,,PRD 范围说明,更新
ACC-003,验收标准（交叉）,验收-功能-导入编辑发布预览下载,验收,§验收标准-功能验收,实现「验收-功能-导入编辑发布预览下载」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-004,验收标准（交叉）,验收-交互-布局导航与确认反馈,验收,§验收标准-交互验收,实现「验收-交互-布局导航与确认反馈」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-005,验收标准（交叉）,验收-交互-日志分页筛选一致,验收,§验收标准-交互验收,实现「验收-交互-日志分页筛选一致」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-006,验收标准（交叉）,验收-一致性-资源同步与章节解析一致,验收,§验收标准-一致性验收,「同步到所有范本」后，引用章节内容与资源 HTML 一致；`resolveSectionRichHtml` 展示与预期一致。,可构造引用。,同步前后对比可测；无「已归档范本隔离」验收项。,P1,草稿,,替代归档一致性,更新
ACC-007,验收标准（交叉）,验收-一致性-日志可追溯,验收,§验收标准-一致性验收,实现「验收-一致性-日志可追溯」：行为与 PRD 引用段落一致；详情可参考 semi-auto 同名条目的综述/流程。,相关菜单可达；Mock 数据或后端接口按迭代约定可用。,按 PRD「成功结果」可观察验证；失败时不静默；关键动作可追溯审计（若适用）。,P1,草稿,,,
ACC-008,验收标准（交叉）,验收-一致性-范本状态与资源版本痕迹,验收,§验收标准-一致性验收,范本仅在 **draft/published** 间变化可测；资源以 **contentVersion**（或 versions）体现修改痕迹，与 PRD 规则1 一致。,有编辑操作。,状态与版本字段与 UI 展示一致。,P1,草稿,,无范本归档快照,更新
OUT-BID-001,（非本期）招标文件,（非本期）范本一键生成正式招标文件-占位,验收,§范围说明-非本期范围,完整「从范本生成带签章成品 Word/PDF」仍属规划/非本期闭环；界面若有入口以 PRD 占位说明为准。,范围基线确认。,不强制功能验收；与 PRD 非本期列表一致。,P2,草稿,,,更新
OUT-BID-002,（非本期）招标文件,（非本期）变量回填与成品导出-占位,验收,§范围说明-非本期范围,变量全量回填、法务签章流、归档成品库等非本期；**招标文件管理**页若存在仅为 Mock 演示，验收见 ACC-002。,—,与 PRD 范围说明一致。,P2,草稿,,演示见招标文件管理,更新
OBS-001,（废止口径）,资源-独立「保存草稿」「发布」与状态枚举,删除,—,原骨架/半自动表中资源侧草稿·发布分态；现行 PRD 为单稿「保存」即生效，无资源级 draft/published 验收。,—,不作为本期通过条件。,—,—,,对照 RM-001、GL-002、RM-016～RM-018,删除
OBS-002,（废止口径）,资源侧主流程-绑定章节/确认绑定/解绑,删除,—,原 RM 细粒度绑定主路径；现行 PRD 以范本 WPS 侧栏插入建立关联，资源管理不提供绑定主流程。,—,不作为本期通过条件。,—,—,,对照 RM-004、GL-007,删除
OBS-003,（废止口径）,范本状态「已归档」及同步跳过 archived,删除,—,原 DB/TP/GL/ACC 中 archived 范本与「跳过已归档」联动；现行实现与 PRD 仅 draft/published。,—,不作为本期通过条件。,—,—,,对照 DB-013、TP-001、GL-003、GL-009,删除
OBS-004,（废止口径）,规则2-归档快照不受资源变 / 仅联动非归档范本,删除,—,原 GL-005～GL-007 类旧表述；现行规则2 以 resolveSectionRichHtml + 显式同步到范本为准，无范本归档分支。,—,不作为本期通过条件。,—,—,,对照 GL-005～GL-011,删除
OBS-005,（废止口径）,WPS 插入失败-剪贴板兜底或手工粘贴,删除,—,原 WE 兜底表述；现行 PRD/实现仅弹窗「重试」「取消」，无粘贴回退。,—,不作为本期通过条件。,—,—,,对照 WE-004、GL-014,删除
OBS-006,（废止口径）,验收-「不验收范本到招标文件」字面条款,删除,—,旧 ACC-002 占位；已改为「招标文件管理 Mock 演示」可选验收，见 ACC-002。,—,不作为本期通过条件。,—,—,,对照 ACC-002,删除
OBS-007,（废止口径）,验收-归档不受资源影响（旧一致性条款）,删除,—,旧 ACC-006；已改为资源同步与章节解析一致，无归档隔离验收。,—,不作为本期通过条件。,—,—,,对照 ACC-006,删除
OBS-008,（废止口径）,全局规则3-泛化「失败回退方案」含隐式绕过,删除,—,旧 GL-014 泛化回退；WPS 插入场景已收窄为 GL-014/NFR-004 现行表述。,—,不作为本期通过条件。,—,—,,对照 GL-014、NFR-004,删除
